start_day,end_day,symbol,weight_factor_1
0,21,000031.SZ,-2.9744779174899074
0,21,000029.SZ,-2.838285976001716
0,21,000011.SZ,-2.8400856086649737
0,21,000027.SZ,-3.885350347378696
0,21,000026.SZ,-2.3913384122615544
0,21,000006.SZ,-2.832326117176446
0,21,000016.SZ,-2.5138089969310653
0,21,000020.SZ,-2.7841069058291787
21,42,000031.SZ,-2.517998309515613
21,42,000029.SZ,-3.5714055467350794
21,42,000011.SZ,-4.076421524723756
21,42,000027.SZ,-3.737238235430485
21,42,000026.SZ,-3.6102940615670303
21,42,000006.SZ,-2.9189237555684944
21,42,000016.SZ,-3.7303085248573207
21,42,000020.SZ,-4.261687572221108
42,63,000031.SZ,-3.6790789264635926
42,63,000029.SZ,-3.9873833364234628
42,63,000011.SZ,-1.6534698915426584
42,63,000027.SZ,-2.575918957567456
42,63,000026.SZ,-3.4685504053263014
42,63,000006.SZ,-4.0972473934243645
42,63,000016.SZ,-3.7466641142377672
42,63,000020.SZ,-2.709451722711824
63,84,000031.SZ,-4.200541432139727
63,84,000029.SZ,-3.655051808567234
63,84,000011.SZ,-3.364270661150688
63,84,000027.SZ,-2.6307674937921757
63,84,000026.SZ,-3.448945311177598
63,84,000006.SZ,-4.317064306490765
63,84,000016.SZ,-2.8487024386289783
63,84,000020.SZ,-3.5342408666360936
84,105,000031.SZ,-3.1509516623627714
84,105,000029.SZ,-3.7246818770506884
84,105,000011.SZ,-2.331924900040675
84,105,000027.SZ,-3.0633390000461365
84,105,000026.SZ,-1.6798097073477323
84,105,000006.SZ,-3.1370120827015247
84,105,000016.SZ,-3.6192744065946556
84,105,000020.SZ,-3.3331005036898445
105,126,000031.SZ,-2.322244398760976
105,126,000029.SZ,-2.96175703754136
105,126,000011.SZ,-2.1250338291230624
105,126,000027.SZ,-2.134960380392616
105,126,000026.SZ,-2.1638311280135736
105,126,000006.SZ,-2.2837395783956698
105,126,000016.SZ,-2.5676895612989665
105,126,000020.SZ,-1.8282904604251122
126,147,000031.SZ,-3.520319062547402
126,147,000029.SZ,-3.667923831903591
126,147,000011.SZ,-3.6309095342456845
126,147,000027.SZ,-2.874213363166598
126,147,000026.SZ,-3.4753168696622105
126,147,000006.SZ,-3.94403574985931
126,147,000016.SZ,-1.7496155125186135
126,147,000020.SZ,-1.8828447439015483
147,168,000031.SZ,-3.1599813218933397
147,168,000029.SZ,-2.408203879832149
147,168,000011.SZ,-3.2696150418302135
147,168,000027.SZ,-3.747601569266343
147,168,000026.SZ,-3.3213327467825904
147,168,000006.SZ,-2.7030036730252087
147,168,000016.SZ,-3.2419834554746605
147,168,000020.SZ,-2.1823804643151123
168,189,000031.SZ,-3.841276163223272
168,189,000029.SZ,-2.978222383108314
168,189,000011.SZ,-4.5565047155869385
168,189,000027.SZ,-3.294785862191639
168,189,000026.SZ,-2.8683098102598175
168,189,000006.SZ,-3.198816459035684
168,189,000016.SZ,-2.2471048395630344
168,189,000020.SZ,-3.1741727658764027
189,210,000031.SZ,-2.90284315486537
189,210,000029.SZ,-2.5634100280036094
189,210,000011.SZ,-4.116721095904431
189,210,000027.SZ,-2.9555605844825448
189,210,000026.SZ,-3.195864962763451
189,210,000006.SZ,-1.6997042574431616
189,210,000016.SZ,-2.6243387715745436
189,210,000020.SZ,-3.0298828891418053
210,231,000031.SZ,-3.2382238635109575
210,231,000029.SZ,-2.993842719942511
210,231,000011.SZ,-4.690901408163781
210,231,000027.SZ,-2.4874215203369308
210,231,000026.SZ,-3.6930874353627114
210,231,000006.SZ,-2.2932590873945387
210,231,000016.SZ,-2.46608362368673
210,231,000020.SZ,-2.8717115033528473
