year,return_component,K_hat,g_fn,gamma,er_1,er_2,er_3,er_4,er_5,er_6,er_7,er_8,er_9,er_10
2013,hf,1,median_N,0.08,1.228166343458854,1.0123051488797796,1.0015118423258953,1.0018080185754228,1.0010757173098002,1.0006043232318929,1.0006462326248955,1.000411693709236,1.0004907260503892,1.0003271163379486
2013,continuous,1,median_N,0.08,1.2203531711169981,1.0111951477577374,1.001520194358869,1.0010178137240962,1.0017807418342914,1.0001510331863646,1.0001581929387195,1.000968306837977,1.0001232412948686,1.0001065861245773
2013,jump,1,median_N,0.08,1.0296199949790779,1.0021324226444543,1.0019608539863487,1.0016471466101642,1.00064878052734,1.0006231582222125,1.0002647064334247,1.0009846864707852,1.000470519772453,1.0003075371902566
2014,hf,1,median_N,0.08,1.1545699654994799,1.0236918788045288,1.0041226167974964,1.000482079607307,1.0008840365154332,1.0019377014331972,1.0009952642031599,1.0000155290884658,1.0003932673027311,1.0002399810641671
2014,continuous,1,median_N,0.08,1.1568875298093155,1.0238132997244693,1.0049887551433456,1.0008182170216544,1.000969134293096,1.0010576620559724,1.0008018794769922,1.0002780558539262,1.0002978757670584,1.0002466594971193
2014,jump,1,median_N,0.08,1.0114742392578098,1.001109295834135,1.0031389644140098,1.0007138033581273,1.0005517209500974,1.0001355821825084,1.000525093662886,1.0003448343806465,1.0000967716450861,1.0001895643929
2015,hf,1,median_N,0.08,1.8319077223141227,1.0631639703278515,1.009388626594713,1.0048836318471792,1.0007937028554654,1.0042088216730327,1.0017062732985818,1.0007844201970644,1.0007606714032524,1.0003515338414855
2015,continuous,1,median_N,0.08,1.7245485653387793,1.0471855548030449,1.0060230149975304,1.0050899341311512,1.003832761698281,1.0025870904425331,1.0021446003968608,1.0006112615197316,1.0006276576845614,1.0004292947790039
2015,jump,1,median_N,0.08,1.1979930349581054,1.0112960774313022,1.007762207567273,1.0099528203880976,1.0023551752233937,1.0014449580364353,1.0009745401417725,1.0013037953974377,1.000881832267652,1.0010654831269545
2016,hf,1,median_N,0.08,1.542899445316631,1.011774512866684,1.0034101882546118,1.0018274292132707,1.001478515054665,1.0007572866349321,1.0008463483591679,1.0004044573559354,1.0003978150448725,1.0002358085572634
2016,continuous,1,median_N,0.08,1.5094690126049084,1.0091146452731274,1.0029535432499503,1.00143043029864,1.0013933104836041,1.0010984297972785,1.0004379889260837,1.0001316893675503,1.0004724978024038,1.0000810754618772
2016,jump,1,median_N,0.08,1.0965630266464856,1.0073147672066374,1.002438879250341,1.003494461624842,1.0009067503381497,1.0006178734204005,1.0008375711177744,1.0004825463745417,1.0004104923898205,1.0007351150941184
2017,hf,1,median_N,0.08,1.1390422545055898,1.006072486191872,1.0034688748206073,1.002298490741215,1.0007074764615471,1.0007829491598952,1.000088508561339,1.0008962279656475,1.0008272905581934,1.0003587250930517
2017,continuous,1,median_N,0.08,1.135570529883699,1.004930904619132,1.0031740757937266,1.002163974649958,1.0017905142600314,1.0003795636440465,1.000150649754843,1.0003257250591404,1.0001025597704114,1.0004064257361043
2017,jump,1,median_N,0.08,1.0224562947304279,1.0016041404568818,1.001050683554159,1.001725371326094,1.000584294420445,1.000436222042983,1.0008705589630034,1.0003216610239567,1.0012094335605584,1.0001717743174892
2018,hf,1,median_N,0.08,1.2622431094191964,1.012363385858254,1.0030381682610163,1.003658786558729,1.0010722223812394,1.0006258802453567,1.0003322113705475,1.0005347621817864,1.0000321847113602,1.0004877678371633
2018,continuous,1,median_N,0.08,1.2696117277161723,1.0124343516616128,1.002131774297432,1.0033346798067395,1.0014199162686208,1.0000989678431547,1.0004508129466914,1.0006078581943538,1.0002219395405936,1.0003682932422029
2018,jump,1,median_N,0.08,1.0189204164098344,1.0028611554627755,1.0002296408758988,1.0004342874580148,1.000514953478985,1.0010911158125972,1.0001006085892648,1.0003067182541598,1.000196546932213,1.0003584810658226
2019,hf,1,median_N,0.08,1.245578149425064,1.0035594195847517,1.0048132272949164,1.0016757852990477,1.0002299541035915,1.0001953084073985,1.0003541678894852,1.0005869225201005,1.0006723958899932,1.0002391037378842
2019,continuous,1,median_N,0.08,1.2491887084784232,1.0025565478269318,1.004344098164859,1.0020288421083947,1.000297236136163,1.0001912806724442,1.0003331702913092,1.0003908123590213,1.0005379248239794,1.0003881686348015
2019,jump,1,median_N,0.08,1.0225648874252335,1.001831755443762,1.0011399605742108,1.0001980390657437,1.0006939040067935,1.000256809012182,1.0004065348149913,1.000506103123628,1.0001574115912324,1.0002425256016607
2020,hf,1,median_N,0.08,1.2660301558483211,1.0079229860371164,1.007413275962256,1.002289937415137,1.0010090930724211,1.0016172464168842,1.001054966931213,1.000397994092375,1.0005280406820232,1.0004201267941872
2020,continuous,1,median_N,0.08,1.215261072229943,1.0095948469955283,1.0075787823716469,1.0026383195806055,1.0025105009522004,1.001997426478666,1.000182446404043,1.0015292404949463,1.0001919265072414,1.0002605322620315
2020,jump,1,median_N,0.08,1.1391989521232533,1.0059190436689738,1.0032679945201406,1.0008815107625724,1.0008251460801167,1.0006833887862994,1.0001530925554574,1.0001873434384063,1.000042055638639,1.0002974064104
2021,hf,1,median_N,0.08,1.0469310367317108,1.0215036665284858,1.001058960542763,1.0060772430555125,1.0020964848903005,1.0017534585679104,1.0003657734596574,1.001152078889971,1.0008657825751948,1.0002122019742705
2021,continuous,1,median_N,0.08,1.0490425946725395,1.0200450746367264,1.001288567268502,1.0061746917795173,1.0022211637473217,1.0016147720467334,1.000808567258899,1.000539359411493,1.0010671202592394,1.0001784913237686
2021,jump,1,median_N,0.08,1.002311281834132,1.0016249797038548,1.0015825289865004,1.0009518230396666,1.000292124809842,1.000184059479446,1.000164763773526,1.0002289655700338,1.0001315739718606,1.000287911463019
2022,hf,1,median_N,0.08,1.171273074197034,1.0109106428817036,1.0014564881398518,1.0047558992154928,1.0040226547076432,1.0033027021409413,1.0033053740187743,1.000915080423678,1.0011554272996643,1.0006561300744519
