factor,rank,symbol,weight
1,1,600820.SH,-0.10137807586182233
1,2,600015.SH,-0.09970254461990885
1,3,600269.SH,-0.09723822707362556
1,4,002394.SZ,-0.09659164114369609
1,5,002393.SZ,-0.0964562858039035
1,6,600897.SH,-0.09304540288142676
1,7,600642.SH,-0.09297833177611607
1,8,600377.SH,-0.09206329898776837
1,9,600508.SH,-0.0907833298519024
1,10,601607.SH,-0.089532043023704
1,11,601668.SH,-0.08916229725635838
1,12,000869.SZ,-0.08863893777544188
1,13,000789.SZ,-0.08766923894872428
1,14,600742.SH,-0.08613073465951054
1,15,000027.SZ,-0.08457138692184808
1,16,603167.SH,-0.08348478364534691
1,17,600028.SH,-0.08301831226090696
1,18,600004.SH,-0.08207757772642367
1,19,601958.SH,-0.0816966145416252
1,20,600123.SH,-0.08160043990287508
1,21,600583.SH,-0.08139346738274687
1,22,600805.SH,-0.08113507676260555
1,23,600085.SH,-0.08085117471805767
1,24,601328.SH,-0.08067732653292048
1,25,601939.SH,-0.08047098008296943
1,26,600993.SH,-0.08015372961576749
1,27,000919.SZ,-0.07784905039867812
1,28,600660.SH,-0.07707882965884039
1,29,000731.SZ,-0.07672440414560558
1,30,600016.SH,-0.07615948485462118
