factor,rank,symbol,weight
1,1,600820.SH,-0.008695652173913044
1,2,600015.SH,-0.008695652173913044
1,3,600269.SH,-0.008695652173913044
1,4,002394.SZ,-0.008695652173913044
1,5,002393.SZ,-0.008695652173913044
1,6,600897.SH,-0.008695652173913044
1,7,600642.SH,-0.008695652173913044
1,8,600377.SH,-0.008695652173913044
1,9,600508.SH,-0.008695652173913044
1,10,601607.SH,-0.008695652173913044
1,11,601668.SH,-0.008695652173913044
1,12,000869.SZ,-0.008695652173913044
1,13,000789.SZ,-0.008695652173913044
1,14,600742.SH,-0.008695652173913044
1,15,000027.SZ,-0.008695652173913044
1,16,603167.SH,-0.008695652173913044
1,17,600028.SH,-0.008695652173913044
1,18,600004.SH,-0.008695652173913044
1,19,601958.SH,-0.008695652173913044
1,20,600123.SH,-0.008695652173913044
1,21,600583.SH,-0.008695652173913044
1,22,600805.SH,-0.008695652173913044
1,23,600085.SH,-0.008695652173913044
1,24,601328.SH,-0.008695652173913044
1,25,601939.SH,-0.008695652173913044
1,26,600993.SH,-0.008695652173913044
1,27,000919.SZ,-0.008695652173913044
1,28,600660.SH,-0.008695652173913044
1,29,000731.SZ,-0.008695652173913044
1,30,600016.SH,-0.008695652173913044
