factor,rank,symbol,weight
1,1,000027.SZ,-1.6052326540425628
1,2,000029.SZ,-1.2075159709945966
1,3,000025.SZ,-1.0727817509425748
1,4,000031.SZ,-1.038550244535911
1,5,000020.SZ,-0.9933533768442083
1,6,000014.SZ,-0.9415391367490487
1,7,000026.SZ,-0.8572037008570896
1,8,000011.SZ,-0.8073338712409153
1,9,000006.SZ,-0.7836826157046863
1,10,000016.SZ,-0.7465820775669744
2,1,000016.SZ,-2.3843285646448114
2,2,000020.SZ,-1.5559086760179923
2,3,000029.SZ,0.9471057575807553
2,4,000011.SZ,0.9130596314898086
2,5,000027.SZ,-0.6571435554087436
2,6,000006.SZ,0.581926639651727
2,7,000025.SZ,-0.4888265873191776
2,8,000031.SZ,0.3660753957463248
2,9,000014.SZ,0.26335219177229147
2,10,000026.SZ,0.26009786183141176
3,1,000027.SZ,-3.5119449404232337
3,2,000011.SZ,1.0104238528793221
3,3,000026.SZ,-0.9680110992478996
3,4,000006.SZ,0.9676604806097564
3,5,000016.SZ,0.7335373039246572
3,6,000029.SZ,-0.5273904415972405
3,7,000025.SZ,0.4255580519554921
3,8,000020.SZ,0.40280477483388927
3,9,000031.SZ,0.3322395022164713
3,10,000014.SZ,0.21103569843339837
4,1,000011.SZ,1.9167310441182892
4,2,000006.SZ,-1.2166589071703513
4,3,000025.SZ,-1.1689361573865666
4,4,000014.SZ,-0.7531848982652084
4,5,000026.SZ,0.6659912540829147
4,6,000020.SZ,0.4892929938000499
4,7,000031.SZ,0.48519876444116244
4,8,000016.SZ,0.3881340542478394
4,9,000027.SZ,-0.36421110597217143
4,10,000029.SZ,-0.28470354792328384
